year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,16769,39744,229,44
2009,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,30211,68244,609,77
2010,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,12804,35464,277,53
2012,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,11055,27205,213,39
2013,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,12193,31418,169,43
2014,Clam Razor Atlantic,Brunswick,Cumberland,UK,Live Pounds,3930,15152,72,6
2014,Clam Razor Atlantic,Harpswell,Cumberland,UK,Live Pounds,1015,4632,16,7
2014,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,14620,52345,182,42
2015,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,38716,132942,558,86
2016,Clam Razor Atlantic,Boothbay,Lincoln,UK,Live Pounds,1335,5332,12,3
2016,Clam Razor Atlantic,Brunswick,Cumberland,UK,Live Pounds,3075,10109,89,19
2016,Clam Razor Atlantic,Freeport,Cumberland,UK,Live Pounds,1227,5021,16,6
2016,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,20628,74507,397,74
2017,Clam Razor Atlantic,Brunswick,Cumberland,UK,Live Pounds,12901,47545,376,28
2017,Clam Razor Atlantic,Damariscotta,Lincoln,UK,Live Pounds,220,832,12,5
2017,Clam Razor Atlantic,Harpswell,Cumberland,UK,Live Pounds,171,673,15,7
2017,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,34101,109132,400,67
2018,Clam Razor Atlantic,Brunswick,Cumberland,UK,Live Pounds,3952,13563,88,18
2018,Clam Razor Atlantic,Freeport,Cumberland,UK,Live Pounds,2973,11786,74,21
2018,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,19004,69294,302,51
2018,Clam Razor Atlantic,Waldoboro,Lincoln,UK,Live Pounds,3106,10207,88,32
2019,Clam Razor Atlantic,Damariscotta,Lincoln,UK,Live Pounds,579,2139,11,6
2019,Clam Razor Atlantic,Freeport,Cumberland,UK,Live Pounds,193,771,9,5
2020,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,13819,56800,112,19
2021,Clam Razor Atlantic,Damariscotta,Lincoln,UK,Live Pounds,299,1181,5,5
2021,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,14201,60701,111,30
2021,Clam Razor Atlantic,Waldoboro,Lincoln,UK,Live Pounds,299,1140,7,4
2022,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,14243,57039,82,9
2023,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,31143,148851,159,26
2024,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,26360,141809,121,34
